LOCCODE,TYPE,BOROUGH,NAME,NOTE,PHONE,ADDRESS,ZIP,DAY_LENGTH,PREK_SEATS,3K_SEATS,EL_SEATS,X,Y,EMAIL,WEBSITE,MEALS,INDOOR_OUTDOOR,SEMS_CODE,BUTTON_TYPE,START_TIME,EARLY_DROP,LATE_PICKUP,ENHANCED_LANG,FLEX_SCHED,SPED_FLG,INCOME_FLG,SPECIAL_PRIOR,DYNAMIC
01M184,DOE,M,P.S. 184m Shuang Wen,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-602-9700,327 CHERRY STREET,10002,1,36,,,988196,198439,MJu2@schools.nyc.gov,www.ps184m.org,2,3,01M184,info,8:20:00 AM,1,0,0,0,0,0,,
01M188,DOE,M,P.S. 188 The Island School,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-677-5710,442 EAST HOUSTON STREET,10002,1,18,,,990502,201596,MRosales@schools.nyc.gov,theislandschool.nyc,2,3,01M188,info,8:30:00 AM,0,0,109,0,0,0,,1
01M315,DOE,M,The East Village Community School,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-982-0682,610 East 12 Street,10009,1,36,,,990187,204415,jamespc@evcs.me,www.evcsnyc.org,2,3,01M315,info,8:30:00 AM,1,0,0,0,0,0,,
01M361,DOE,M,The Children's Workshop School,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-614-9531,610 East 12 Street,10009,1,36,,,990267,204367,mvelez4@schools.nyc.gov,http://schools.nyc.gov/schoolportals/01/m361,2,3,01M361,info,8:40:00 AM,,,0,0,0,0,,
01M363,DOE,M,Neighborhood School,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-387-0195,121 East 3 Street,10009,1,36,,,988085,203178,NMora@schools.nyc.gov,https://tnsny.org,2,3,01M363,info,8:25:00 AM,1,1,0,0,0,0,,
01M364,DOE,M,Earth School,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-477-1735,600 East 6 Street,10009,1,36,,,989435,203081,afutterman2@schools.nyc.gov,https://theearthschool.org,2,3,01M364,info,8:30:00 AM,1,1,0,0,0,0,,
01MAED,NYCEEC,M,Immaculate Conception School,,212-475-1529,419 East 13 Street,10009,1,40,,,989155,205415,k.bozzello@immaculateconceptionschoolnyc.org,https://immaculateconceptionschoolnyc.org,5,9,01MAED,info,8:00:00 AM,1,1,0,0,0,0,,
01MAOZ,NYCEEC,M,Educational Alliance - Lillian Wald,,646-395-4218,34 Avenue D,10009,1,20,,23,990494,201989,JBattaglia@edalliance.org,https://edalliance.org,3,3,01MAOZ,info,8:00:00 AM,,1,0,0,0,1,,1
01MAQA,NYCEEC,M,Virginia Day Nursery,<b>Note:</b> This program includes Head Start seats. Contact site for more information.,212-228-5220,464 East 10 Street,10009,1,18,,23,991269,203061,shwilliams@shelteringarmsny.org,https://shelteringarmsny.org,3,3,01MAQA,info,8:30:00 AM,1,1,0,1,0,1,,1
01MASU,NYCEEC,M,Hamilton Madison House EarlyLearn Center 5,<b>Note:</b> This program includes Head Start seats. Contact site for more information.,212-962-3408,253 South Street,10002,1,36,,63,986866,198046,annettesanches@hmhonline.org,www.hmhonline.org,3,7,01MASU,info,,,,0,0,0,1,,1
01MATK,NYCEEC,M,Bank Street Head Start,,212-353-2532,535 East 5 Street,10009,1,40,,,989069,203159,jgarcia@bankstreet.edu,https://www.bankstreet.edu/education-for-children/head-start/,3,3,01MATK,info,8:30:00 AM,0,1,0,0,0,1,,1
01MATO,NYCEEC,M,Dewitt Reformed Church Head Start,<b>Note:</b> This program includes Head Start seats. Contact site for more information.,212-254-3070,280 Rivington Street,10002,1,47,,48,989929,200699,mybln@yahoo.com,,3,6,01MATO,info,,,,0,0,0,1,,1
01MATQ,NYCEEC,M,Escuela Hispana Montessori 2,<b>Note:</b> This program includes Head Start seats. Contact site for more information.,212-982-6650,180 Suffolk Street,10002,1,40,,90,988477,202038,lylewalford12@gmail.com,https://escuelahispanaelc.com,3,3,01MATQ,info,8:00:00 AM,1,1,0,1,0,1,,1
01MATU,NYCEEC,M,Grand St Settlement Head Start Center,<b>Note:</b> This program includes Head Start seats. Contact site for more information.,212-777-0656,294 Delancey Street,10002,1,36,,46,989985,200326,areefe@grandsettlement.org,www.grandsettlement.org,3,3,01MATU,info,9:00:00 AM,0,0,0,0,0,1,,1
01MAUB,NYCEEC,M,University Settlement ECC,<b>Note:</b> This program includes Head Start seats. Contact site for more information.,212-453-4584,184 Eldridge Street,10002,1,70,,65,986871,201792,lrivera@universitysettlement.org,www.universitysettlement.org,3,4,01MAUB,info,9:00:00 AM,1,1,0,0,0,1,,1
01MAUC,NYCEEC,M,Grand St Settlement,,212-228-8240,300 Delancey Street,10002,1,18,,38,990176,200359,jobregon@grandsettlement.org,https://www.grandsettlement.org/,3,7,01MAUC,info,8:00:00 AM,1,1,0,0,0,1,,1
01MAUE,NYCEEC,M,CPC Jacob Riis Child Care Center,,212-533-9138,108 Avenue D,10009,1,8,,30,990973,202812,Yho@cpc-nyc.org,www.cpc-nyc.org,3,3,01MAUE,info,9:00:00 AM,1,1,0,0,0,1,,
01MAXZ,NYCEEC,M,Henry Street Settlement Day Care,<b>Note:</b> This program includes Head Start seats. Contact site for more information.,212-254-3100,301 Henry Street,10002,1,38,,49,989041,199494,CCarrozelli@HenryStreet.org,www.henrystreet.org,5,9,01MAXZ,info,,1,1,0,0,0,1,,1
01MBKU,NYCEEC,M,CPC Little Star of Broome Street,,646-678-3847,131 Broome Street,10002,1,27,,30,988577,200191,alei@cpc-nyc.org,https://www.cpc-nyc.org/programs/early-childhood-services/little-star-broome-day-care,3,3,01MBKU,info,8:30:00 AM,0,1,0,0,0,1,,1
02M001,DOE,M,P.S. 1 Alfred E. Smith,,212-267-4133,8 HENRY STREET,10038,1,36,,,984943,198898,CLau@schools.nyc.gov,http://schools.nyc.gov/schoolportals/02/m001,3,3,02M001,info,8:15:00 AM,,,102,0,0,0,,1
02M002,DOE,M,P.S. 2 Meyer London,,212-964-0350,122 HENRY STREET,10002,1,36,,,986640,199073,ps2@ps2m.info,www.ps2m.info,2,3,02M002,info,8:15:00 AM,0,0,0,0,0,0,,1
02M003,DOE,M,P.S. 3 Charrette School,<b>Note:</b> Students who qualify for FRL will have priority for pre-K seats after all zoned students are admitted. ,212-691-1183,490 HUDSON STREET,10014,1,54,,,982537,206190,creynolds@ps3charrettenyc.org,www.ps3nyc.org,2,3,02M003,info,8:20:00 AM,0,1,0,0,0,0,,
02M006,DOE,M,P.S. 6 Lillie D. Blake,,212-737-9774,45 East 81 Street,10028,1,72,,,995131,222527,skhan@ps6nyc.com,https://ps6nyc.com,2,7,02M006,info,8:15:00 AM,,,0,0,0,0,,
02M011,DOE,M,P.S. 11 William T. Harris,,212-929-1743,320 West 21 Street,10011,1,18,,,984061,210431,RBender2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/02/m011,3,3,02M011,info,,,,0,0,0,0,,
02M033,DOE,M,P.S. 33 Chelsea Prep,,212-244-6426,281 Ninth Avenue,10001,1,36,,,984209,212170,CWang@schools.nyc.gov,http://schools.nyc.gov/schoolportals/02/m033,2,3,02M033,info,8:20:00 AM,,1,0,0,0,0,,
02M040,DOE,M,P.S. 40 Augustus Saint-Gaudens,,212-475-5500,319 East 19 Street,10003,1,18,,,989288,207141,jknight3@schools.nyc.gov,https://www.schools.nyc.gov/schools/M040,2,3,02M040,info,8:20:00 AM,0,0,0,0,0,0,,
02M041,DOE,M,P.S. 41 Greenwich Village,,212-675-2756,116 West 11 Street,10011,1,54,,,984442,207285,KShanno@schools.nyc.gov,https://ps41.org,5,9,02M041,info,8:40:00 AM,1,1,0,0,0,0,,
02M042,DOE,M,P.S. 42 Benjamin Altman,,212-226-8410,71 HESTER STREET,10002,1,54,,,986781,200151,mlee4@schools.nyc.gov,https://www.ps42m.org,3,3,02M042,info,8:20:00 AM,,1,0,0,0,0,,1
02M051,DOE,M,P.S. 51 Elias Howe,,212-315-7160,525 WEST 44 STREET,10036,1,72,,,985591,216656,gleon2@schools.nyc.gov, ps51eliashowe.org,2,3,02M051,info,8:15:00 AM,1,0,0,0,0,0,,
02M059,DOE,M,P.S. 59 Beekman Hill International,,212-888-7870,231-249 East 56 Street,10022,1,18,,,993566,215912,kking6@schools.nyc.gov,https://ps59.net,3,9,02M059,info,8:45:00 AM,1,,0,0,0,0,,
02M089,DOE,M,P.S. 89,,212-571-5659,201 WARREN STREET,10282,1,36,,,980448,200482,Cschraft@schools.nyc.gov,http://schools.nyc.gov/schoolportals/02/m089,2,7,02M089,info,8:40:00 AM,,,0,0,0,0,,
02M111,DOE,M,P.S. 111 Adolph S. Ochs,,212-582-7420,440 West 53 Street,10019,1,54,,,987176,218312,egilligan@schools.nyc.gov,www.ps111adolphsochs.org,2,3,02M111,info,8:20:00 AM,0,0,0,0,0,0,,
02M116,DOE,M,P.S. 116 Mary Lindley Murray,,212-685-4366,210 East 33 Street,10016,1,54,,,990449,210502,vritter@ps116.org,https://ps116.org,2,7,02M116,info,8:15:00 AM,,,0,0,0,0,,
02M124,DOE,M,P.S. 124 Yung Wing,,212-966-7237,40 DIVISION STREET,10002,1,72,,,985508,199564,ahom2@schools.nyc.gov,,5,9,02M124,info,,1,,0,0,0,0,,
02M126,DOE,M,P.S. 126 Jacob August Riis,,212-962-2188,80 CATHERINE STREET,10038,1,36,,,985099,198162,Cromero3@schools.nyc.gov,PS126MAT.com,2,3,02M126,info,8:20:00 AM,0,0,0,0,0,0,,
02M130,DOE,M,P.S. 130 Hernando De Soto,,212-226-8072,143 BAXTER STREET,10013,1,36,,,984696,201108,dchong@schools.nyc.gov,www.ps130m.org,2,3,02M130,info,8:15:00 AM,0,0,0,0,0,0,,
02M150,DOE,M,P.S. 150,,212-732-4392,334 GREENWICH STREET,10013,1,18,,,981231,200964,JBonnet@schools.nyc.gov,https://ps150.net,2,7,02M150,info,8:40:00 AM,,,0,0,0,0,,
02M151,DOE,M,Yorkville Community School,,212-722-5240,421 East 88 Street,10128,1,72,,,998719,222695,mainoffice@yorkvillecommunityschool.org,https://yorkvillecommunityschool.org,3,9,02M151,info,8:40:00 AM,,1,0,0,0,0,,
02M158,DOE,M,P.S. 158 Bayard Taylor,,212-744-6562,1458 YORK AVENUE,10075,1,72,,,997867,219948,mary.semack@ps158.net,ps158.org,2,7,02M158,info,8:30:00 AM,0,0,0,0,0,0,,
02M183,DOE,M,P.S. 183 Robert L. Stevenson,,212-734-7719,419 East 66 Street,10065,1,36,,,995843,217529,TDudek@schools.nyc.gov,https://ps183.org,5,9,02M183,info,8:30:00 AM,,1,0,0,0,0,,
02M198,DOE,M,P.S. 198 Isador E. Ida Straus,,212-289-3702,1700 Third Avenue,10128,1,54,,,998132,225290,dsantana10@schools.nyc.gov,https://ps198m.org/,2,3,02M198,info,8:00:00 AM,0,0,0,0,0,0,,
02M212,DOE,M,P.S. 212 Midtown West,,212-247-0208,328 West 48 Street,10036,1,36,,,987389,216710,Tfarley@schools.nyc.gov,Www.midtownwest.org,3,7,02M212,info,8:40:00 AM,0,0,0,0,0,0,,
02M217,DOE,M,P.S./I.S. 217 Roosevelt Island,,212-980-0294,645 MAIN STREET,10044,1,36,,,998580,217620,lrademaker@schools.nyc.gov,http://schools.nyc.gov/schoolportals/02/m217,7,3,02M217,info,8:25:00 AM,,,0,0,0,0,,
02M225,DOE,M,Ella Baker School,,212-717-8809,317 East 67 Street,10065,1,36,,,995464,218123,LGarcia3@schools.nyc.gov,https://ellabakerschool.org,3,3,02M225,info,8:30:00 AM,,1,0,0,0,0,,
02M276,DOE,M,Battery Park City School,,212-266-5800,55 BATTERY PLACE,10280,1,18,,,979410,196632,TRuyter@schools.nyc.gov,,5,9,02M276,info,,,,0,0,0,0,,
02M281,DOE,M,The River School,,212-251-6640,425 EAST 35 STREET,10016,1,54,,,991859,210480,prekreadyps281@gmail.com,www.ps281.org,3,3,02M281,info,8:30:00 AM,0,0,0,0,0,0,,
02M290,DOE,M,P.S. 290 Manhattan New School,,212-734-7127,311 East 82 Street,10028,1,36,,,997328,221700,desposi2@schools.nyc.gov,,5,9,02M290,info,,,,0,0,0,0,,
02M340,DOE,M,Sixth Avenue Elementary School,,917-305-1000,590 Sixth Avenue,10011,1,72,,,985552,208488,ps340info@gmail.com,https://www.ps340.org,2,3,02M340,info,8:20:00 AM,,1,0,0,0,0,,
02M343,DOE,M,The Peck Slip School,,212-312-6260,1 Peck Slip,10038,1,36,,,982765,199173,dhgreene@schools.nyc.gov,https://peckslip.org,3,9,02M343,info,8:15:00 AM,,,0,0,0,0,,
02M347,DOE,M,The 47 American Sign Language & English Lower School,,917-326-6609,223 East 23 Street,10010,1,30,,,989112,208350,DThackerBowell@schools.nyc.gov,,5,9,02M347,info,,0,0,0,0,0,0,,
02M397,DOE,M,Spruce Street School,,212-266-4800,12 SPRUCE STREET,10018,1,18,,,982696,198290,NHarris2@schools.nyc.gov,https://sprucestreetnyc.org,3,3,02M397,info,,,,0,0,0,0,,
02MABK,NYCEEC,M,Cassidy's Place,,212-845-3821,419 East 86 Street,10028,3,18,,,998519,222262,Mdurkee@a-b-c.org,,5,9,02MABK,info,,1,1,0,0,0,0,,
02MADO,NYCEEC,M,Guardian Angel,,212-989-8280,193 10 AVENUE,10011,1,40,,,982837,211367,M007@adnyeducation.org,www.guardianangelschool-nyc.org,3,7,02MADO,info,8:30:00 AM,1,1,0,0,0,0,,
02MAMQ,NYCEEC,M,Lenox Hill Neighborhood House,,212-218-0406,331 East 70 Street,10021,1,80,,,995962,218726,wjimenez@lenoxhill.org,https://lenoxhill.org,2,3,02MAMQ,info,9:00:00 AM,,,0,0,0,1,,1
02MAMZ,NYCEEC,M,MANHATTAN NURSERY SCHOOL,,212-631-0543,38 West 32 Street,10001,1,32,,,987731,211724,contact@manhattannurseryschool.com,https://manhattannurseryschool.com,3,1,02MAMZ,info,8:00:00 AM,,1,0,0,0,0,,
02MANG,NYCEEC,M,Imagine Early Learning Center at Vets Kids,,212-951-3435,423 East 23 Street,10010,1,12,,,990780,207539,VetsKidsinfo@imagineelc-nyc.com,www.imagineelc.com,5,7,02MANG,info,9:30:00 AM,1,1,0,0,0,0,,
02MANH,NYCEEC,M,Imagine Early Learning Center at East 97th Street,,212-410-2077,60-62 East 97 Street,10029,1,13,,,997285,226159,sinaikidsinfo@imagineelc.com,imagineelc.com,5,6,02MANH,info,9:20:00 AM,1,1,0,0,0,0,,
02MAPL,NYCEEC,M,Battery Park City Day Nursery,,212-945-0088,215 SOUTH END AVENUE,10280,1,35,,,979573,197802,info@bpcdaynursery.com,www.bpcdaynursery.com,7,7,02MAPL,info,8:45:00 AM,1,1,0,0,0,0,,
02MAPM,NYCEEC,M,Hamilton Madison House EarlyLearn Center 2,,212-962-3408,60 Catherine Street,10038,1,29,,35,984993,198569,peteranzalone@hmhonline.org,https://hmhonline.org,3,7,02MAPM,info,,,,0,0,0,1,,1
02MAPY,NYCEEC,M,Grand St Settlement Dual Center #1,<b>Note:</b> This program includes Head Start seats. Contact site for more information.,212-677-6990,60 Essex Street,10002,1,36,,23,987367,200459,bgonzalez@grandsettlement.org,https://grandsettlement.org,3,3,02MAPY,info,8:30:00 AM,1,1,0,0,0,1,,1
02MAQG,NYCEEC,M,GRAMERCY SCHOOL,,212-420-0510,460 West 34 Street,10001,1,8,,,984548,214046,dsavino@nylel.org,,3,2,02MAQG,info,9:00:00 AM,,,0,0,0,0,,
02MASL,NYCEEC,M,Hudson Guild Children's Center I,,212-760-9830,441 West 26 Street,10001,1,20,,,983806,212366,emendez@hudsonguild.org,https://hudsonguild.org,3,7,02MASL,info,8:30:00 AM,0,0,0,0,0,0,,
02MATL,NYCEEC,M,"CHINATOWN DAY CARE CENTER, INC.",,212-431-3845,35 Division Street,10002,1,60,,,985424,199410,chinatown_day_care@verizon.net,http://www.ccbanyc.org/daycare/,3,3,02MATL,info,8:40:00 AM,1,1,0,0,0,0,,1
02MATM,NYCEEC,M,Chinese Community Concerns Corp.,,212-226-5001,180 Mott Street,10012,3,36,,,985448,201798,chinaheadstart@aol.com,,8,7,02MATM,info,8:00:00 AM,1,1,0,0,0,0,,
02MAUA,NYCEEC,M,Education Alliance - East Broadway,,646-395-4250,197 East Broadway,10002,1,90,,16,987466,199403,Nredondo@edalliance.org,https://mannycantor.org/edgies-preschool/,7,2,02MAUA,info,8:40:00 AM,1,1,0,0,0,1,,
02MAUH,NYCEEC,M,Bellevue-Educare Childcare Center,,212-679-2393,462 First Avenue,10016,1,8,,12,990893,208696,registrar@bellevuedaycarecenter.org,www.bellevuedaycarecenter.org,3,6,02MAUH,info,9:00:00 AM,1,1,0,0,0,1,,
02MAUL,NYCEEC,M,BMCC Early Childhood Center,,212-220-8251,199 Chambers Street,10013,3,20,,,981234,201421,cscottcroff@bmcc.cuny.edu,www.bmcc.cuny.edu,5,9,02MAUL,info,,,,0,0,0,0,,
02MAUM,NYCEEC,M,Chung Pak Day Care Center,,212-343-9630,125 Walker Street,10013,1,36,,33,984303,200605,epereira@cpc-nyc.org,www.CPC.org,5,3,02MAUM,info,8:30:00 AM,,,0,0,0,1,,1
02MAUN,NYCEEC,M,Eisman Day Nursery,,212-876-9200,1794 First Avenue,10128,1,39,,16,999233,223841,eisman1@live.com,,3,7,02MAUN,info,,,,0,0,0,1,,1
02MAUP,NYCEEC,M,Hudson Guild Children's Center,,212-760-9830,459 West 26 Street,10001,1,58,,35,983594,212372,mrush@hudsonguild.org,https://http://hudsonguild.org,3,7,02MAUP,info,,,,0,0,0,1,,1
02MAUT,NYCEEC,M,Hudson Guild Polly Dodge Early Learning Center,,212-757-2047,538 West 55 Street,10019,1,20,,22,986567,219268,mbittrolff@ywcanyc.org,https://ywcanyc.org,3,3,02MAUT,info,8:30:00 AM,,,0,0,0,1,,
02MAUU,NYCEEC,M,Garment Industry Day Care Center,,212-219-2286,115 Chrystie Street,10002,1,18,,47,985945,201108,kwong2@cpc-nyc.org,https://cpc-nyc.org,3,7,02MAUU,info,9:00:00 AM,,,0,0,0,1,,1
02MAUW,NYCEEC,M,Hamilton Madison House EarlyLearn Center 4,<b>Note:</b> This program includes Head Start seats. Contact site for more information.,212-962-3408,77 Market Street,10002,1,32,,5,985811,198204,syenecooper@hmhonlie.org,https://hmhonline.org,5,6,02MAUW,info,,,,0,0,0,1,,1
02MAUY,NYCEEC,M,Hamilton Madison House EarlyLearn Center 6,<b>Note:</b> This program includes Head Start seats. Contact site for more information.,212-962-3408,129 Fulton Street,10038,1,29,,23,982184,198044,jeannetoomeykriaris@hmhonline.org,https://hmhonline.org,3,6,02MAUY,info,8:30:00 AM,,1,0,0,0,1,,1
02MAXX,NYCEEC,M,Victoria Children's Group,,212-625-9228,230 Grand Street,10013,1,16,,,985616,201122,Admin@victoriachildrensgroup.com,www.victoriachildrensgroup.com,3,4,02MAXX,info,,1,1,0,0,0,0,,
02MAXY,NYCEEC,M,Roosevelt Island Day Nursery,,212-593-0750,4 RIVER ROAD,10044,1,49,,,998821,217802,office@ridn.org,www.ridn.org,7,3,02MAXY,info,8:40:00 AM,1,1,0,0,0,0,,
